# Synthetic cold-start datalog: 2017 WRX, ambient 5 °C, cold-soaked
# overnight, key-on + drive to operating temp. ~30 s at 5 Hz.
# Pattern: PreCrank (engine off, ECT=ambient), Cranking (1 s at 250 RPM),
# InitialFiring (briefly), HighIdle (~1400 RPM cold), settling to
# normal idle as ECT climbs, then Warmup as user gives throttle.
# Observed lambda runs slightly rich of the target curve early — typical
# cold-start enrichment.
ts,ect,iat,rpm,obs,cmd
0.0,5.0,5.0,0,0.000,0.000
0.2,5.0,5.0,0,0.000,0.000
0.4,5.0,5.0,0,0.000,0.000
0.6,5.0,5.0,200,0.000,0.700
0.8,5.0,5.0,300,0.000,0.700
1.0,5.0,5.0,400,0.700,0.750
1.2,5.5,5.0,650,0.730,0.780
1.4,5.8,5.0,1100,0.770,0.820
1.6,6.0,5.0,1450,0.795,0.830
2.0,6.5,5.0,1400,0.810,0.830
2.4,7.0,5.0,1400,0.820,0.830
3.0,8.0,5.0,1380,0.835,0.840
3.5,9.0,5.0,1340,0.845,0.850
4.0,10.0,5.0,1280,0.855,0.860
4.5,11.0,5.0,1220,0.860,0.865
5.0,12.0,5.0,1180,0.870,0.870
6.0,14.0,5.0,1100,0.880,0.880
7.0,16.0,5.0,1050,0.885,0.885
8.0,18.0,5.0,1020,0.890,0.890
9.0,20.0,5.0,1000,0.895,0.895
10.0,22.0,5.0,990,0.900,0.900
11.0,24.0,5.0,980,0.905,0.905
12.0,26.0,5.0,970,0.910,0.910
13.0,28.0,5.0,960,0.915,0.915
14.0,30.0,5.0,950,0.920,0.920
15.0,32.0,5.0,940,0.925,0.925
16.0,34.0,5.0,940,0.930,0.930
18.0,38.0,5.5,930,0.940,0.940
20.0,42.0,6.0,920,0.950,0.950
22.0,46.0,6.5,910,0.960,0.960
24.0,50.0,7.0,910,0.970,0.970
26.0,54.0,7.5,900,0.980,0.980
28.0,58.0,8.0,2200,0.990,0.990
30.0,62.0,8.5,2400,1.000,1.000
