# Synthetic knock datalog for st::log::knock smoke testing.
# Columns mirror the convention the knock-snapshot CLI defaults expect.
# Pattern is a representative 3rd-gear WOT pull on a 4-cylinder car:
# idle → tip-in → cruise → WOT pull where cyl 1 picks up persistent
# knock retard, cyl 2 light knock, cyls 3-4 clean.
rpm,load,flkc1,flkc2,flkc3,flkc4,fbkc1,fbkc2,fbkc3,fbkc4
800,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1400,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,2.5,-0.50,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2800,3.2,-1.25,-0.25,0.0,0.0,-1.4,0.0,0.0,0.0
3200,3.8,-2.00,-0.50,-0.25,0.0,0.0,0.0,0.0,0.0
3600,4.2,-2.75,-0.75,-0.25,0.0,-2.1,0.0,0.0,0.0
4000,4.5,-3.25,-1.00,-0.25,0.0,0.0,-0.7,0.0,0.0
4400,4.7,-3.50,-1.00,-0.50,0.0,-1.4,0.0,0.0,0.0
4800,4.8,-3.75,-1.25,-0.50,0.0,0.0,0.0,0.0,0.0
5200,4.9,-3.75,-1.25,-0.75,0.0,-2.1,0.0,0.0,0.0
5600,5.0,-3.75,-1.50,-0.75,0.25,0.0,0.0,0.0,0.0
6000,5.0,-3.75,-1.75,-1.00,0.25,-0.7,0.0,0.0,0.0
6400,5.0,-3.75,-1.75,-1.00,0.50,0.0,0.0,0.0,0.0
6500,5.0,-3.75,-2.00,-1.00,0.50,-1.4,0.0,0.0,0.0
6000,4.5,-3.75,-2.00,-1.00,0.50,0.0,0.0,0.0,0.0
4000,2.5,-3.75,-2.00,-1.00,0.50,0.0,0.0,0.0,0.0
2400,1.2,-3.75,-2.00,-1.00,0.50,0.0,0.0,0.0,0.0
1200,0.8,-3.75,-2.00,-1.00,0.50,0.0,0.0,0.0,0.0
