# Synthetic adaptive-learning history representative of a Subaru WRX
# experiencing slow injector drift + IAC valve fouling over ~6 weeks.
# 1 sample per day at noon (epoch seconds). LTFT trends from 0% to
# -4% (injectors getting dirty). DAM stays near 1.0 (no knock). IAC
# adapt slowly rises (idle leak getting worse).
ts,ltft,dam,iac
1714564800, 0.10,1.00,0.00
1714651200, 0.05,1.00,0.05
1714737600,-0.20,1.00,0.08
1714824000,-0.15,1.00,0.10
1714910400,-0.30,1.00,0.12
1714996800,-0.40,1.00,0.18
1715083200,-0.55,1.00,0.22
1715169600,-0.50,1.00,0.25
1715256000,-0.65,1.00,0.28
1715342400,-0.75,1.00,0.30
1715428800,-0.85,1.00,0.35
1715515200,-0.95,1.00,0.40
1715601600,-1.00,0.99,0.42
1715688000,-1.10,1.00,0.48
1715774400,-1.25,1.00,0.55
1715860800,-1.40,1.00,0.60
1715947200,-1.55,1.00,0.65
1716033600,-1.70,0.99,0.72
1716120000,-1.85,1.00,0.78
1716206400,-2.00,1.00,0.85
1716292800,-2.15,1.00,0.92
1716379200,-2.30,1.00,0.98
1716465600,-2.45,1.00,1.05
1716552000,-2.60,0.99,1.12
1716638400,-2.80,1.00,1.20
1716724800,-2.95,1.00,1.28
1716811200,-3.10,1.00,1.35
1716897600,-3.30,1.00,1.42
1716984000,-3.45,0.99,1.50
1717070400,-3.60,1.00,1.58
1717156800,-3.80,1.00,1.65
1717243200,-3.95,1.00,1.72
1717329600,-4.10,1.00,1.80
