# Synthetic EBCS PID datalog. Two third-gear tip-ins from cruise:
# the first overshoots boost by ~3 psi (high Kp), the second is well-
# tuned and settles cleanly. Used to smoke-test the v1.x EBCS PID
# assistant (docs/05 §11 play 4). 20 Hz sample rate, units in psi.
ts,target_boost,actual_boost,wgdc,throttle,rpm
0.0,0.0,0.0,30,18,2400
0.1,0.0,0.0,30,18,2410
0.2,0.0,0.0,30,18,2420
0.3,0.0,0.0,30,18,2430
0.4,0.0,0.0,30,18,2440
0.5,0.0,0.0,30,18,2450
# First tip-in: throttle 18 -> 92, target 0 -> 16, big overshoot
0.6,8.0,0.1,75,92,2600
0.7,16.0,1.5,90,92,2900
0.8,16.0,4.5,90,92,3200
0.9,16.0,8.2,90,92,3600
1.0,16.0,12.0,90,92,4000
1.1,16.0,15.0,90,92,4350
1.2,16.0,17.5,90,92,4650
1.3,16.0,19.2,90,92,4900
1.4,16.0,18.7,90,92,5100
1.5,16.0,17.5,90,92,5300
1.6,16.0,16.8,90,92,5500
1.7,16.0,16.3,90,92,5700
1.8,16.0,16.0,90,92,5900
1.9,16.0,15.9,90,92,6100
2.0,16.0,15.9,90,92,6300
2.1,16.0,16.0,90,92,6500
2.2,16.0,16.0,90,92,6700
# Lift, settle, cruise
2.3,4.0,15.0,40,30,5800
2.4,2.0,8.0,30,25,5200
2.5,1.0,4.0,30,22,4700
2.6,0.5,1.5,30,22,4400
2.7,0.5,0.8,30,22,4200
2.8,0.5,0.5,30,22,4000
2.9,0.5,0.5,30,22,3900
3.0,0.5,0.5,30,22,3800
3.1,0.5,0.5,30,22,3700
3.2,0.5,0.5,30,22,3650
3.3,0.5,0.5,30,22,3620
3.4,0.5,0.5,30,22,3600
3.5,0.5,0.5,30,22,3580
# Second tip-in: throttle 22 -> 90, target 0.5 -> 16, well-tuned
3.6,8.0,1.0,75,90,3700
3.7,16.0,3.0,90,90,3900
3.8,16.0,7.5,90,90,4200
3.9,16.0,11.5,90,90,4500
4.0,16.0,14.5,90,90,4800
4.1,16.0,16.0,90,90,5100
4.2,16.0,16.3,90,90,5400
4.3,16.0,16.1,90,90,5700
4.4,16.0,16.0,90,90,6000
4.5,16.0,16.0,90,90,6300
4.6,16.0,16.0,90,90,6500
4.7,16.0,16.0,90,90,6700
4.8,16.0,16.0,90,90,6900
4.9,16.0,16.0,90,90,7000
5.0,16.0,16.0,90,90,7100
