cid	family7	fam_count	bucket_size	in_bucket	unlock_class	urls
A2SB000A	A2SB000	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2sb000a-6204504007-e2-sap_tgv_off-chk-ok/
A2TB100A	A2TB100	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2tb100a-5204504007-e2-sap_off-chk-ok/
A2TB100K	A2TB100	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2tb100k-5204784007-stage1-e2-sap_off-splim250-chk-ok/
A2TB100U	A2TB100	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2tb100u-5104584007-stage1-e2-sap_evap_tgv_off-immo_off-chk-ok/
A2TB100V	A2TB100	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2tb100v-33092304-5104504007-e2-sap_off-p0600_off-chk-ok/
A2WC000E	A2WC000	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2wc000e-3b02594006-stage1-e2-immo_off-chk-ok/
A2WC400I	A2WC400	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2wc400i-3b12584006-immo_off-chk-ok/
A2WD001B	A2WD001	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2wd001b-3c04784106-stage1-immo_off-splim250-chk-ok/
A2ZJ500F	A2ZJ500	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2zj500f-3144504006-stage1-e2-tgv_evap_off-chk-ok/
A2ZJA00P	A2ZJA00	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2zja00p-3b44503006-e0-tgv_off-chk-ok/
A2ZJD00A	A2ZJD00	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2zjd00a-2f04505406-immo_off-chk-ok-2/
A2ZJD01A	A2ZJD01	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a2zjd01a-2f04505506-stage1-e2-splim250-immo_off-chk-ok/
A4RG050M	A4RG050	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a4rg050m-2904445205-tune-e2/
A4RI400I	A4RI400	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a4ri400i-3b04484005-tune-e2/
A4RL100J	A4RL100	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a4rl100j-2a44506005-stage1-e2-tgv_off-egt_off-boost1-2/
A8DK100P	A8DK100	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a8dk100p-4e42504007-stage1-e2-sap_tgv_off-chk-ok/
A8DK100Y	A8DK100	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a8dk100y-4d42584006-immo_off-chk-ok/
A8DK100Z	A8DK100	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/a8dk100z-4d42594006-stage1-e2-sap_off-immo_off-chk-ok/
AE5F300B	AE5F300	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/ae5f300b-5b025a4007-immo_off-chk-ok/
AE5I411A	AE5I411	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/ae5i411a-7502567107-stage1-e2-chk-ok/
AE5Z000V	AE5Z000	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/ae5z000v-b22a904107-stage1-evap_off-chk-ok/
AF5F100A	AF5F100	1	1573888	True	LIKELY FAMILY-SHARED (untested — unlocks up to 1)	https://ecutune.shop/downloads/af5f100a-80045c6007-tune-e2-egr_off-splim_cruise_250-chk-ok/
AZ1G101R	AZ1G101	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/az1g101r-5c12504007-e2-sap_off-chk-ok/
AZ1G104L	AZ1G104	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/az1g104l-5c04505107-e2-chk-ok/
AZ1G202G	AZ1G202	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/az1g202g-5a42784207-immo_off-chk-ok/
AZ1G600P	AZ1G600	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/az1g600p-6cf250400-immo_off-chk-ok/
AZ1G900O	AZ1G900	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/az1g900o-7142584007-stage1-e2-sap_off-splim250-chk-ok/
AZ1H102W	AZ1H102	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/az1h102w-6304504107-stage1-e2-sap_tgv_off-splim250/
AZ1J200P	AZ1J200	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/az1j200p-6c04514007-e2-sap_off-immo_off-chk-ok/
AZ1J500L	AZ1J500	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/az1j500l-7104584007-e2-sap_off-immo_off-chk-ok/
D1524EC0	D1524EC	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d1524ec0-4b44304006-egr_off-sap_off-chk-fix/
D22F4EA2	D22F4EA	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d22f4ea2-5c44304007-egr_off-chk-fix/
D24S4DA9	D24S4DA	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d24s4da9-6304307307-stage1-egr_off-nochk/|https://ecutune.shop/downloads/d24s4da9-6304307307-stage1-nochk/
D2PH410Q	D2PH410	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d2ph410q-4b0a377007-stage1-e2-egr_off-chk-ok/
D2PH501Q	D2PH501	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d2ph501q-4b0a378007-e2-chk-ok/
D2TB201R	D2TB201	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d2tb201r-524a344007-immo_off-chk-ok/
D2UG102D	D2UG102	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d2ug102d-4c4a354007-e2-chk-ok/
D2UG102G	D2UG102	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d2ug102g-4caa344007-immo_off-chk-ok/
D2UH003R	D2UH003	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d2uh003r-4b4a346107-stage1-e2-egr_off-fancorr_9295_9698-chk-ok/
D2UJ001F	D2UJ001	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d2uj001f-4c4a347007-immo_off-chk-ok/|https://ecutune.shop/downloads/d2uj001f-4c4a347007-e2-fancorr_9193_9395-chk-ok/
D2UK001Q	D2UK001	0	0	False	NOT IN BUCKET (no cipher to anchor)	https://ecutune.shop/downloads/d2uk001q-4b0a368007-stage1-e2-egr_off-immo_off-chk-ok/|https://ecutune.shop/downloads/d2uk001q-4b0a368007-immo_off-chk-ok/
