cid	pak_file	keyword	year	transmission	vehicle
EZ1GB20J	22611BC090.pak	BDFC0F87	---	AT	z WQD40 z
EZ1GB20I	22611BC080.pak	B613AA55	---	MT	z WQD40 z
EZ1GD00E	22611BC060.pak	61FD36B3	---	MT	z WQD40 z
EZ1GC00B	22611AN02F.pak	A210E896	2008	AT	Legacy
EZ1GC00D	22611AN00E.pak	4AD40DD5	2008	AT	Legacy
EE5I910U	22765AB06B.pak	7774F104	2010	MT	Outback
DE5F201G	22765AA06B.pak	619DBFED	2010	AT	Legacy
DE5F810G	22765AB13B.pak	4172BBA3	2011	AT	Legacy
EE5K801T	22765AC66C.pak	8920BFCC	2012	CVT	Legacy
EE5K801V	22765AC67C.pak	CE697935	2012	CVT	Legacy
DE5M301C	22765AD09B.pak	A836856D	2013	AT	Legacy
DE5M301H	22765AD10B.pak	DCDE7FD1	2013	AT	Legacy
EB4GI00B	22765AV37A.pak	E9CD44A0	2015	CVT	Legacy
EB4GI00C	22765AV38A.pak	C1312261	2015	CVT	Legacy
EB4V900C	22765AN06C.pak	03B99837	2019	CVT	Legacy
DB4GI00D	22765AF45H.pak	6FE961CB	2015	CVT	Legacy
EZ1GB10H	22765AA792.pak	68EC44AD	2010	AT	Impreza
EZ1GB10G	22765AA782.pak	EF43B564	2010	MT	Impreza
EP5GD00B	22765AC426.pak	82D6284D	2012	CVT	Impreza
EP5GD00D	22765AC386.pak	D0C39921	2012	CVT	Impreza
EP5GD00A	22765AC407.pak	76194C59	2012	MT	Impreza
EP5IA00I	22765AE744.pak	FF05F0C8	2013	CVT	Impreza
EP5IA00G	22765AE764.pak	051E3D36	2013	CVT	Impreza
EP5I800F	22765AE753.pak	02BE470C	2013	MT	Impreza
EP5L301G	22765AG033.pak	F3159479	2014	CVT	Impreza
EA1T600A	22765AH193.pak	E21F4B8F	2015	CVT	Impreza
EP5IA00D	22765AE854.pak	E417550D	2013	CVT	XV Crosstrek
EP5IA00B	22765AE874.pak	CBEDD07E	2013	CVT	XV Crosstrek
EP5I800A	22765AE863.pak	57F64900	2013	MT	XV Crosstrek
EP5L301B	22765AG113.pak	BDF5697E	2014	CVT	XV Crosstrek
EM2F401E	22765AE632.pak	AEFD86A8	2014	CVT	XV Hybrid
EA1T600B	22765AH493.pak	8ABA974B	2015	CVT	XV Crosstrek
LF75600S	22765AR962.pak	9E2A52F1	2015	MT	WRX
LF9L000E	22765AR223.pak	555AA3F4	2021	6MT	WRX
EZ1GC00F	22611AN085.pak	F8FF04FA	2008	AT	Forester
EZ1GC00E	22611AN074.pak	9549B82E	2008	MT	Forester
EZ1GB10I	22765AA352.pak	DC944094	2010	MT	Forester
EP5DB00B	22765AB408.pak	F8A62CBF	2011	AT	Forester
EP5DA00A	22765AB418.pak	45AFBEBE	2011	MT	Forester
EP5DB00D	22765AB428.pak	A716E1A4	2011	AT	Forester
EP5DA00C	22765AB438.pak	A0D8A9BF	2011	MT	Forester
EA1M511B	22765AE224.pak	861C71E6	2014	CVT	Forester
AF56E03B	22611BG963.pak	F2EF6EEB	2014	CVT	Forester
LF61803B	22765AG979.pak	DCE18725	2015	CVT	Forester
LF75500A	22765AH517.pak	794DE95E	2016	CVT	Forester
EA1M811B	22765AG754.pak	7EC7424F	2015	CVT	Forester
ZA1JB01D	22765AG501.pak	868139F1	2013	AT	BRZ
ZA1JB01C	22765AG511.pak	CFB47AAB	2013	MT	BRZ
LF75500G	22765AH626.pak	4B2FF19D	2016	CVT	WRX
EA1U300C	22765AH711.pak	FC9ADB6C	2016	MT	Impreza
EA1U300A	22765AH721.pak	C36B9251	2016	CVT	Impreza
EA1U300B	22765AH751.pak	8BA1C221	2016	CVT	Crosstrek
EA1Y200D	22765AK581.pak	FBAB1DB5	2017	MT	Crosstrek
EA1Y200B	22765AK591.pak	1DF53C1D	2017	CVT	Crosstrek
EB4J340R	22765AH863.pak	D69D26C6	2017	CVT	Forester
EB4S200R	22765AL392.pak	9BAB2FCC	2018	CVT	Forester
LF78200B	22765AH926.pak	4C616F8C	2017	CVT	Forester
LF9C200B	22765AL594.pak	B85912A9	2018	CVT	Forester
LF79120P	22765AK386.pak	F14C1A26	2017	MT	WRX
XH3J2G0A	22765AU30A.pak	C3C6AC44	2017	MT	Impreza
XH3J2C1A	22765AK61K.pak	9DB28E88	2018	MT	Impreza
XH3J2C0B	22765AL71J.pak	250AEE3A	2018	CVT	Impreza
EA1T500V	22765AH273.pak	C42E1096	2016	CVT	Forester
EA1T500W	22765AH284.pak	EB4A189C	2016	MT	Forester
EA1T500X	22765AH294.pak	AB395CA2	2016	CVT	Forester
LF9C300P	22765AL005.pak	2432A301	2018	MT	WRX
LF9G002S	22765AN632.pak	D2C02B24	2020	CVT	WRX
ZA1JS10C	22765AN211.pak	5D63E304	2019	MT	BRZ
LT8DB00A	22765AL739.pak	0DDE2284	2019	CVT	ASCENT
XE1F900A	22765AL825.pak	41631B25	2019	CVT	Forester
