CID	Pack_Number	Part_Number	AppricableCID	Keyword	CVN	Country Spec	Vehicle	Year	Engine	Aspiration	Transmission	Specification
EZ1GB20J	22611BC090	22611BC090	WQD4009	BDFC0F87	1B48 96C4	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	AT	CAL
EZ1GB20I	22611BC080	22611BC080	WQD4008	B613AA55	430D 8A33	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	MT	CAL
EZ1GD00B	22611BC05A	22611BC05A	WQD4005	DE89A052	E702 8B1A	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	AT	CAL
EZ1GD00A	22611BC04A	22611BC04A	WQD4004	041B7585	322B 1C2A	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	MT	CAL
EZ1GD00F	22611BC070	22611BC070	WQD4007	E04806AF	28B4 69B0	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	AT	CAL
EZ1GD00E	22611BC060	22611BC060	WQD4006	61FD36B3	6074 A1FF	N.AMERICA	z WQD40 z	---	z WQD40 z	z WQD40 z	MT	CAL
DU2IHL0C	UD-S205A	22611AD84C	DUG1L008	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2000	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AD84D	DUH1LA0A	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2000	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AF61B	DUG1K008	60F69F37	1895 5E62	N.AMERICA	Outback	2000	2.5L	non-Turbo	AT	FED  CAL
DU2IHK0C	UD-S205A	22611AF61C	DUH1KA0A	60F69F37	1895 5E62	N.AMERICA	Outback	2000	2.5L	non-Turbo	AT	FED  CAL
CID# is not available.	UD-S204	22611AD86C	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86D	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86E	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86F	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86C	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86D	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86E	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AD86F	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Legacy	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60B	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60C	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60D	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60E	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2000	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60B	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60C	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60D	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2001	2.5L	non-Turbo	MT	FED  CAL
CID# is not available.	UD-S204	22611AF60E	CID# is not available.	5239AC77	CVN is not available.	N.AMERICA	Outback	2001	2.5L	non-Turbo	MT	FED  CAL
DU2IHL0C	UD-S205A	22611AG41B	DU2FJLA2	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AG73A	DU2ISL08	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AG73B	DU2IBL05	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
DU2IHL0C	UD-S205A	22611AG73C	DU2ICL08	60F69F37	6B5F 5E62	N.AMERICA	Legacy	2001	2.5L	non-Turbo	AT	FED  CAL
